Economy,Year,Commercial,GDP
09_ROK,2037,971.0507198288526,1575469793298.82
09_ROK,2038,970.1436417811874,1598164063185.06
09_ROK,2039,970.0718358945015,1620228337552.14
09_ROK,2040,969.6600587160275,1641649735937.25
09_ROK,2041,968.0546216861713,1662446280998.99
09_ROK,2042,967.4158617557093,1682646319328.23
09_ROK,2043,965.3466885939972,1702313428915.64
09_ROK,2044,962.9949578216981,1721551337506.21
09_ROK,2045,960.3730116276051,1740493224059.18
09_ROK,2046,957.4774152679271,1759276612849.48
09_ROK,2047,955.3995284290812,1778194394907.62
09_ROK,2048,951.8911703642996,1797335139960.97
09_ROK,2049,948.100780208915,1816772933091.98
09_ROK,2050,945.0516049140676,1836574177590.26
09_ROK,2051,941.1368457712979,
09_ROK,2052,938.0854529253327,
09_ROK,2053,933.640458000134,
09_ROK,2054,930.1176561464627,
09_ROK,2055,926.4080878957275,
09_ROK,2056,921.3886065711871,
09_ROK,2057,917.3676011112165,
09_ROK,2058,913.2529864047183,
09_ROK,2059,909.1023493653116,
09_ROK,2060,904.9632923592087,
09_ROK,2061,900.864013267238,
09_ROK,2062,896.819069637763,
09_ROK,2063,892.8471115345467,
09_ROK,2064,890.1044306032179,
09_ROK,2065,886.318929915037,
09_ROK,2066,882.6490988322375,
09_ROK,2067,880.2484885522089,
09_ROK,2068,876.832945996414,
09_ROK,2069,874.6794030819349,
09_ROK,2070,872.6425087887219,
10_MAS,2017,187.3963501878105,429802158143.86
10_MAS,2018,186.8453537682965,459780366207.645
10_MAS,2019,204.29310065480448,479550921954.574
10_MAS,2020,221.74244394232778,473801760725.54
10_MAS,2021,237.55678451691008,519076766280.064
10_MAS,2022,249.26208904933574,544647229618.705
10_MAS,2023,261.50713341541467,572053959091.9
10_MAS,2024,273.7989902509811,599725973840.933
10_MAS,2025,283.65939090032623,629270548609.261
10_MAS,2026,293.2042155460215,659907507700.798
10_MAS,2027,302.9382720721205,691651334047.09
10_MAS,2028,312.8525439793379,724516650872.401
10_MAS,2029,322.941306129941,758518222724.835
10_MAS,2030,333.462664380576,794494266745.436
10_MAS,2031,345.304790535295,835782455331.002
10_MAS,2032,355.6088734740767,873312341597.729
10_MAS,2033,365.759848767288,911203163235.945
10_MAS,2034,375.7480020710059,949457624522.164
10_MAS,2035,388.3176257337009,996523563530.344
10_MAS,2036,400.6727519553577,1044044713376.84
10_MAS,2037,410.10498411679123,1083493051146.81
10_MAS,2038,422.08854632079385,1131891406538.11
10_MAS,2039,433.8826317843998,1180755074888.4
10_MAS,2040,445.4883934679131,1230087542308.4
10_MAS,2041,459.6777867641451,1288599069441.74
10_MAS,2042,471.03259127460984,1338924076010.65
10_MAS,2043,482.2549114106415,1389728709069.39
10_MAS,2044,496.00386428647545,1449857142912.58
10_MAS,2045,506.96402389272555,1501676869193.6
10_MAS,2046,520.4016508447083,1562918232172.55
10_MAS,2047,533.6584554030146,1624744987633.16
10_MAS,2048,546.7353294855044,1687161512123.81
10_MAS,2049,559.6328728890378,1750172212652.89
10_MAS,2050,569.7684779617996,1804667044677.64
10_MAS,2051,578.614707665038,
10_MAS,2052,587.572860148601,
10_MAS,2053,596.639513344556,
10_MAS,2054,605.8091968728186,
10_MAS,2055,615.0770428573885,
10_MAS,2056,624.4410574421668,
10_MAS,2057,633.8997537789909,
10_MAS,2058,643.4487434719672,
10_MAS,2059,653.0824143875594,
10_MAS,2060,662.7957161538106,
10_MAS,2061,672.5866391667993,
10_MAS,2062,682.4529272002586,
10_MAS,2063,692.3909788086282,
10_MAS,2064,702.3972413581713,
10_MAS,2065,712.468622272834,
10_MAS,2066,722.6038169004622,
10_MAS,2067,732.8033472096645,
10_MAS,2068,743.0690272313676,
10_MAS,2069,753.4041581419193,
10_MAS,2070,763.8125838590436,
11_MEX,2017,135.07026155921076,1489036369714.22
11_MEX,2018,138.22880781054295,1517205833417.03
11_MEX,2019,139.48324646948092,1515688627583.62
11_MEX,2020,135.14163470499562,1419207272138.91
11_MEX,2021,137.393405051624,1465453397752.71
11_MEX,2022,137.4954018551958,1507579299027.85
11_MEX,2023,137.64512357426798,1552372352558.05
11_MEX,2024,137.897802808717,1598960703335.81
11_MEX,2025,138.28000993269842,1647230594268.89
11_MEX,2026,138.32895946090906,1697087978475.33
11_MEX,2027,138.51437981713232,1748576333468.8
11_MEX,2028,138.83354436675646,1801680270535.5
11_MEX,2029,139.28533505421314,1856394405878.34
11_MEX,2030,139.86763495057886,1912717725713.8
11_MEX,2031,140.52464157805045,1970656209185.27
11_MEX,2032,141.30355082003405,2030113525816.76
11_MEX,2033,142.20573092945955,2091089082634.55
11_MEX,2034,143.2283412380309,2153577701144.08
11_MEX,2035,144.36980942039307,2217570206042.99
11_MEX,2036,145.62700105120544,2283048177978.62
11_MEX,2037,147.0009353057395,2349985790964.85
11_MEX,2038,148.48762045768802,2418334699124.73
11_MEX,2039,150.0822247087871,2488033575869.91
11_MEX,2040,151.7770567877718,2559005988128.64
11_MEX,2041,153.5913417571672,2631170737825.64
11_MEX,2042,155.50427840572115,2704427953400.01
11_MEX,2043,157.50420788685582,2778664152528.55
11_MEX,2044,159.58105808410923,2853769980506.25
11_MEX,2045,161.72524559228836,2929660878306.69
11_MEX,2046,163.92340351426992,3006292065780.72
11_MEX,2047,166.16793320175287,3083649019866.01
11_MEX,2048,168.45299390635773,3161747191175.32
11_MEX,2049,171.064783359891,3240620293004.28
11_MEX,2050,173.12920535088801,3320312452041.96
11_MEX,2051,0.0,
11_MEX,2052,0.0,
11_MEX,2053,0.0,
11_MEX,2054,0.0,
11_MEX,2055,0.0,
11_MEX,2056,0.0,
11_MEX,2057,0.0,
11_MEX,2058,0.0,
11_MEX,2059,0.0,
11_MEX,2060,0.0,
11_MEX,2061,0.0,
11_MEX,2062,0.0,
11_MEX,2063,0.0,
11_MEX,2064,0.0,
11_MEX,2065,0.0,
11_MEX,2066,0.0,
11_MEX,2067,0.0,
11_MEX,2068,0.0,
11_MEX,2069,0.0,
11_MEX,2070,0.0,
12_NZ,2017,49.31706675297007,128605281929.537
12_NZ,2018,48.35070351621007,132172240752.974
12_NZ,2019,48.9001686819351,135080030049.539
12_NZ,2020,49.45890466385175,125502399486.894
12_NZ,2021,50.36240216610912,133064097811.252
12_NZ,2022,50.28799550400172,137040523378.585
12_NZ,2023,50.21275274649804,140856196864.543
12_NZ,2024,50.18540847933882,144616065570.975
12_NZ,2025,50.16574792495178,148419296218.674
12_NZ,2026,49.99948115827753,152284240832.656
12_NZ,2027,49.89316951607367,156222401314.857
12_NZ,2028,49.790881456103236,160240751263.64
12_NZ,2029,49.69270457671736,164344791385.628
12_NZ,2030,49.58255154796274,168539617151.18
12_NZ,2031,49.500525311318626,172830347424.099
12_NZ,2032,49.422197739367455,177220470055.345
12_NZ,2033,49.34849155807054,181713704586.095
12_NZ,2034,49.280893804908544,186315301616.905
12_NZ,2035,49.22109674010312,191033134579.549
12_NZ,2036,49.16994867935125,195877570523.718
12_NZ,2037,49.123596141840224,200836013884.74
12_NZ,2038,49.082141634333475,205917904649.438
12_NZ,2039,49.04573854071255,211134322205.481
12_NZ,2040,49.01455607522103,216496469925.969
12_NZ,2041,48.9993497619818,222013494643.711
12_NZ,2042,48.99525086972997,227713073788.627
12_NZ,2043,49.00131378961921,233594228485.766
12_NZ,2044,49.01499004023254,239653930847.457
12_NZ,2045,49.034193667991865,245890671192.198
12_NZ,2046,49.0563799395234,252305198475.742
12_NZ,2047,49.074246396323026,258867510982.267
12_NZ,2048,49.08587858416819,265574734067.063
12_NZ,2049,49.08956559308126,272425959892.851
12_NZ,2050,49.0843335876094,279423287855.441
12_NZ,2051,49.084728938669095,
12_NZ,2052,49.08277265969469,
12_NZ,2053,49.07761753833033,
12_NZ,2054,49.068524928324784,
12_NZ,2055,49.05462796355371,
12_NZ,2056,49.0354547513383,
12_NZ,2057,49.010364984254196,
12_NZ,2058,48.97888121009196,
12_NZ,2059,48.940429679445835,
