Economy,Year,freight,passenger,freight_activity,passenger_activity
05_PRC,2027,9389.485523789046,9065.302582680735,19701.782949,11935.237632
05_PRC,2028,9589.962812922571,9056.094081454552,20167.392499,12135.747123
05_PRC,2029,9776.201371113442,9026.762264858042,20604.856912,12321.226286
05_PRC,2030,9954.12388948576,9004.801150130977,21014.003263,12491.795179
05_PRC,2031,10120.086691794713,8967.060246530664,21394.534989,12647.524053000001
05_PRC,2032,10272.707684561054,8913.520747116352,21744.705743,12787.797574
05_PRC,2033,10411.01666413534,8844.548828491243,22063.565919,12912.403597999999
05_PRC,2034,10534.026532177155,8760.604867423594,22349.940732,13021.010539
05_PRC,2035,10640.97148455958,8660.839131290128,22602.882482,13113.47136
05_PRC,2036,10731.006063952524,8545.93660040681,22822.250762,13189.948032
05_PRC,2037,10803.886250094394,8419.22756868419,23010.308847999997,13251.367467
05_PRC,2038,10859.716810901353,8282.254960888575,23168.270938,13298.38118
05_PRC,2039,10898.804325119912,8136.610341914131,23297.685264,13331.75959
05_PRC,2040,10921.441489943276,7983.898277094325,23400.417182999998,13352.349532
05_PRC,2041,10928.819023220427,7827.314652143296,23478.703578,13361.065101
05_PRC,2042,10921.090481073872,7667.727040283603,23533.313374999998,13358.183377
05_PRC,2043,10899.29583039675,7505.002362927823,23566.839743,13342.171956
05_PRC,2044,10864.371346058359,7341.9066672817025,23581.691387,13316.857057000001
05_PRC,2045,10817.37370475847,7179.552906709303,23580.379172,13283.234766
05_PRC,2046,10759.488235670427,7018.994941453269,23565.609453,13242.310679
05_PRC,2047,10692.642154393881,6861.562049081128,23541.715169,13195.803305
05_PRC,2048,10618.063249005862,6708.116983615258,23511.356044,13144.658758
05_PRC,2049,10536.8788893439,6559.3683747849445,23476.883357,13089.642362999999
05_PRC,2050,10468.433773284425,6427.091001408833,23439.984063000004,13031.28669
05_PRC,2051,9949.172204205403,6015.070929074338,23798.51772,13113.804494
05_PRC,2052,9975.55524876191,6014.53964522801,24162.208662999998,13191.783135
05_PRC,2053,10002.382972735892,6013.627686290932,24531.063422,13268.090891
05_PRC,2054,10029.658550834449,6012.3287128473,24905.155366,13342.652134
05_PRC,2055,10057.390247167565,6010.633902290615,25284.619087,13415.388535
05_PRC,2056,10085.579765423321,6008.538115262215,25669.528155,13486.221527
05_PRC,2057,10114.221353133331,6006.033182044071,26059.842145,13555.071649
05_PRC,2058,10143.332294421469,6003.11689617554,26455.819905,13621.887265
05_PRC,2059,10172.901554323304,5999.7864656953725,26857.364233,13686.627355
05_PRC,2060,10202.94217151948,5996.041290582317,27264.676803000002,13749.258689
05_PRC,2061,10233.45286781096,5991.878330681466,27677.784996000002,13809.729896
05_PRC,2062,10264.442295491994,5987.294045552204,28096.836019000002,13867.9895
05_PRC,2063,10295.904899935213,5982.290058678907,28521.801857,13924.005246
05_PRC,2064,10327.853866976406,5976.864611958644,28952.892154999998,13977.750606
05_PRC,2065,10360.283919907315,5971.020223966807,29390.082619,14029.201186999999
05_PRC,2066,10393.204099973078,5964.754354888793,29833.527926,14078.321551
05_PRC,2067,10426.620560536512,5958.068491670745,30283.334007,14125.072477
05_PRC,2068,10460.52824439781,5950.9585411884755,30739.527084999998,14169.393181000001
05_PRC,2069,10494.934895154329,5943.420512865232,31202.217172,14211.211142
05_PRC,2070,10529.846404790109,5935.452195286721,31671.51296,14250.456572000001
06_HKC,2017,42.582348242506754,44.01433520881634,6.945221181167341,44.35413399202499
06_HKC,2018,41.12112130598158,45.56398811384445,6.639899631722325,45.89430528089041
