Economy,Year,Residential,GDP per capita
06_HKC,2039,64.01888525452563,82694.12210598882
06_HKC,2040,64.03686047457424,84456.19253925176
06_HKC,2041,64.05764722339758,86379.17879981751
06_HKC,2042,64.04533628359789,88190.79701820924
06_HKC,2043,64.03544331930098,90160.51773653142
06_HKC,2044,64.02949155183835,92151.97124119668
06_HKC,2045,63.97813768849723,94028.91631059466
06_HKC,2046,63.96577491395395,96332.67586218702
06_HKC,2047,63.943464444872625,98520.05292204746
06_HKC,2048,63.913523578226126,100859.82053560257
06_HKC,2049,63.8784521734671,103212.9184434795
06_HKC,2050,63.856837122537556,105575.86117961838
06_HKC,2051,63.85855170851006,
06_HKC,2052,63.859449820988985,
06_HKC,2053,63.86036539327726,
06_HKC,2054,63.877483647165214,
06_HKC,2055,63.89505408971977,
06_HKC,2056,63.929433305943704,
06_HKC,2057,63.964785588613815,
06_HKC,2058,64.01632615570819,
06_HKC,2059,63.99029515571113,
06_HKC,2060,64.1803840877879,
06_HKC,2061,64.21469198506685,
06_HKC,2062,64.24789850521763,
06_HKC,2063,64.27923239794991,
06_HKC,2064,64.45898912399123,
06_HKC,2065,64.48237269622744,
06_HKC,2066,64.50149112130883,
06_HKC,2067,64.6655951422368,
06_HKC,2068,64.82280032230973,
06_HKC,2069,64.8241140089285,
06_HKC,2070,64.96533926137464,
07_INA,2017,1077.8181564108831,10933.528973680992
07_INA,2018,1119.7528005600388,11369.21236164196
07_INA,2019,1146.7371145952789,11807.322994967437
07_INA,2020,1113.286713629481,11740.632439443063
07_INA,2021,1160.978493071266,12572.903899706931
07_INA,2022,1206.0077768910014,13022.177335463453
07_INA,2023,1251.2711719562014,13477.354834663032
07_INA,2024,1300.081343662369,13941.920946902164
07_INA,2025,1352.9274199243987,14418.286300591633
07_INA,2026,1392.6887057779543,14906.872414341895
07_INA,2027,1434.3539675739596,15407.55021614197
07_INA,2028,1477.6886020322233,15920.890250972176
07_INA,2029,1522.543448759594,16447.287343634896
07_INA,2030,1567.6770894197246,16986.45804299488
07_INA,2031,1616.3393399513207,17538.34060094691
07_INA,2032,1666.565896558861,18104.50131866828
07_INA,2033,1718.2261259267686,18685.324110443587
07_INA,2034,1771.2281454286774,19281.299074626404
07_INA,2035,1825.5088164643057,19892.950165298724
07_INA,2036,1880.8835768755473,20520.315095520957
07_INA,2037,1937.338472716352,21163.122045774802
07_INA,2038,1994.833225527314,21822.239347373627
07_INA,2039,2053.2711842861627,22497.51387910722
07_INA,2040,2112.550481388676,23188.715562489186
07_INA,2041,2172.266244368711,23895.876125123916
07_INA,2042,2232.556071959608,24618.990868714303
07_INA,2043,2293.3553945858234,25358.187067832147
07_INA,2044,2354.5712378835337,26113.111616778337
07_INA,2045,2415.9295613785634,26881.698522115166
07_INA,2046,2477.1474972815718,27661.874166873764
07_INA,2047,2538.067719852878,28452.95950328014
07_INA,2048,2598.590538532868,29254.917597594926
07_INA,2049,2658.6224444168265,30067.719594957045
07_INA,2050,2718.0582165258224,30891.26203757165
07_INA,2051,2771.598858622255,
07_INA,2052,2826.381630333635,
07_INA,2053,2882.422981306747,
07_INA,2054,2939.7376326259478,
07_INA,2055,2998.3410026575725,
07_INA,2056,3058.2522175386584,
07_INA,2057,3119.490053427757,
07_INA,2058,3182.068684435705,
07_INA,2059,3246.0000656044976,
07_INA,2060,3311.2974778312437,
07_INA,2061,3377.976577129688,
07_INA,2062,3446.0554275309582,
07_INA,2063,3515.551093958182,
07_INA,2064,3586.481243162579,
07_INA,2065,3658.8632560535875,
07_INA,2066,3732.7154525696074,
07_INA,2067,3808.05415867808,
07_INA,2068,3884.892293680356,
07_INA,2069,3963.240320437581,
07_INA,2070,4043.1114150627445,
08_JPN,2017,1844.6655081225667,40571.422653668
08_JPN,2018,1753.2128344765706,40987.92347813642
08_JPN,2019,1734.669641721573,41386.07544493616
08_JPN,2020,1777.1539251428703,39353.07004170958
08_JPN,2021,1735.8443982769595,40670.540609758464
08_JPN,2022,1702.7539472093456,41066.63375348842
08_JPN,2023,1681.8634327899317,41525.41135057717
08_JPN,2024,1661.4121844854085,42059.79695515759
08_JPN,2025,1647.13242870447,42665.70592075549
08_JPN,2026,1627.4259944299577,43335.82853172596
08_JPN,2027,1608.1020946253143,44058.91316995237
08_JPN,2028,1587.2598571499695,44827.43669903446
08_JPN,2029,1566.76644161577,45634.22958335892
08_JPN,2030,1546.5784181837332,46473.17613308615
08_JPN,2031,1526.7787760062129,47339.04848165345
08_JPN,2032,1505.4422722480942,48231.46655616597
08_JPN,2033,1486.306760831882,49146.71024427775
08_JPN,2034,1465.6698256737063,50082.80881299341
08_JPN,2035,1447.1738263669304,51039.37738410827
08_JPN,2036,1426.993351935801,52017.043930623855
08_JPN,2037,1407.172817497547,53010.8566858373
08_JPN,2038,1387.692566856393,54020.65711414822
08_JPN,2039,1370.3255512249734,55046.30805056761
08_JPN,2040,1351.430992106697,56088.17621486724
08_JPN,2041,1333.142439403247,57147.08734461656
08_JPN,2042,1315.329647027547,58222.71185436742
08_JPN,2043,1297.8046766802,59313.0002936643
08_JPN,2044,1282.3174826420177,60415.32876743507
08_JPN,2045,1265.3082532509673,61528.36587447993
08_JPN,2046,1248.5056818361888,62653.63013804775
08_JPN,2047,1231.8944637702302,63788.446048550264
08_JPN,2048,1217.2159851408205,64938.4190144572
08_JPN,2049,1200.9461173889983,66111.77181162675
08_JPN,2050,1184.77555651652,67318.32675734325
08_JPN,2051,1169.6230810957084,
08_JPN,2052,1152.8175608337917,
08_JPN,2053,1137.8448252838887,
08_JPN,2054,1121.2113541432504,
08_JPN,2055,1106.397314238398,
08_JPN,2056,1089.9157067456222,
08_JPN,2057,1075.2416541047298,
08_JPN,2058,1058.8939627011812,
08_JPN,2059,1042.6076825017342,
08_JPN,2060,1026.3789919290564,
08_JPN,2061,1010.2042895539714,
08_JPN,2062,992.3475304215765,
08_JPN,2063,976.2716829752129,
08_JPN,2064,960.2401665434776,
08_JPN,2065,942.5199301606491,
08_JPN,2066,926.5694456623248,
08_JPN,2067,908.9263899436885,
08_JPN,2068,891.3184786998618,
08_JPN,2069,873.7433590966601,
08_JPN,2070,856.1988162981837,
09_ROK,2017,860.349056467729,38849.9808006099
09_ROK,2018,866.7358295375885,39827.931685912925
09_ROK,2019,866.7741186121484,40581.96592441207
09_ROK,2020,865.083637112606,40060.68012657038
09_ROK,2021,872.0409493348327,41393.67678890032
09_ROK,2022,878.3766098524292,42663.410619052775
09_ROK,2023,882.3303566404004,43879.67015232518
09_ROK,2024,886.0536474047651,45065.88209467128
09_ROK,2025,889.2095481898111,46243.22248235439
09_ROK,2026,892.0851971221479,47416.85026613146
09_ROK,2027,894.7266905876002,48583.63357512516
09_ROK,2028,896.0217795866182,49743.75251263411
09_ROK,2029,898.1948541315485,50896.70095173095
09_ROK,2030,899.0239663293244,52042.31533991306
09_ROK,2031,902.5124585660407,53180.743120943
09_ROK,2032,901.8386287096857,54314.189944226564
09_ROK,2033,903.8283029431068,55447.464382934224
09_ROK,2034,906.6278523862459,56586.373037510755
09_ROK,2035,907.9779659193866,57735.72557199511
09_ROK,2036,908.9091545466807,58899.03835499438
09_ROK,2037,909.4878502757819,60071.63214204056
09_ROK,2038,908.6382793452864,61253.898781898664
09_ROK,2039,908.5710258226993,62444.56879580184
09_ROK,2040,908.1853545769079,63643.10283554885
09_ROK,2041,906.681699367946,64851.27043053086
09_ROK,2042,906.0834356684961,66071.4919062671
09_ROK,2043,904.1454443645758,67306.62319889746
09_ROK,2044,901.9428090945019,68560.98553988332
09_ROK,2045,899.4870895744909,69840.32640915354
09_ROK,2046,896.775068817332,71150.67398371344
09_ROK,2047,894.8289162677397,72505.24326064788
09_ROK,2048,891.5429817957502,73910.38953300247
09_ROK,2049,887.9928955605691,75372.67538681616
09_ROK,2050,885.1370324965742,76897.96460938694
09_ROK,2051,881.4704620441753,
09_ROK,2052,878.6125220178161,
09_ROK,2053,874.4493317781568,
09_ROK,2054,871.1498692275211,
09_ROK,2055,867.6754809335634,
09_ROK,2056,862.9742256992743,
09_ROK,2057,859.2081447551395,
09_ROK,2058,855.3543892223845,
09_ROK,2059,851.4668951078543,
09_ROK,2060,847.5902468733389,
09_ROK,2061,843.7508547047258,
09_ROK,2062,839.9623532279891,
09_ROK,2063,836.2422101263843,
09_ROK,2064,833.6734102343805,
09_ROK,2065,830.1279034829743,
09_ROK,2066,826.6907330919582,
09_ROK,2067,824.4423171870526,
09_ROK,2068,821.2433138876752,
09_ROK,2069,819.2263017216046,
09_ROK,2070,817.3185428639625,
10_MAS,2017,138.8006650308365,26648.64921275825
10_MAS,2018,138.39255318990948,27537.40062037251
10_MAS,2019,151.31574442981307,28342.368043167327
10_MAS,2020,164.24011809147862,27502.27640751155
10_MAS,2021,175.95347849885192,29602.310435639432
10_MAS,2022,184.62335948565266,30525.93149731026
10_MAS,2023,193.693014789187,31521.11209700605
10_MAS,2024,202.7973431367272,32500.769954142408
10_MAS,2025,210.10074134180397,33552.92424475879
10_MAS,2026,217.17039881964422,34634.55542072722
10_MAS,2027,224.38021650241242,35746.0702861539
10_MAS,2028,231.72351605247925,36887.73139300013
