GDP_category,economy,year,unit,scenario,activity,energy,intensity
Aluminium,03_CDA,2023,thousand tonnes,Carbon Neutral,3039.317231165971,262.4163345634037,0.08634055434309934
Aluminium,03_CDA,2023,thousand tonnes,Reference,3039.317231165971,265.0745517352543,0.08721516431950868
Aluminium,03_CDA,2024,thousand tonnes,Carbon Neutral,3074.9484140404365,262.8356196961575,0.08547643222111664
Aluminium,03_CDA,2024,thousand tonnes,Reference,3074.9484140404365,266.8410241592617,0.08677902463041211
Aluminium,03_CDA,2025,thousand tonnes,Carbon Neutral,3110.540047269501,263.2147896924811,0.08462028641088762
Aluminium,03_CDA,2025,thousand tonnes,Reference,3110.540047269501,268.57959828443944,0.08634500575557752
Aluminium,03_CDA,2026,thousand tonnes,Carbon Neutral,3146.192484771278,263.56229799942656,0.08377182873430804
Aluminium,03_CDA,2026,thousand tonnes,Reference,3146.192484771278,270.2990794784114,0.08591307772387029
Aluminium,03_CDA,2027,thousand tonnes,Carbon Neutral,3181.9762219613963,263.8837711350691,0.08293078034769505
Aluminium,03_CDA,2027,thousand tonnes,Reference,3181.9762219613963,272.0055448076034,0.08548321100901785
Aluminium,03_CDA,2028,thousand tonnes,Carbon Neutral,3217.812156308567,264.1723111656868,0.08209687151805091
Aluminium,03_CDA,2028,thousand tonnes,Reference,3217.812156308567,273.69222453967564,0.08505537652441834
Aluminium,03_CDA,2029,thousand tonnes,Carbon Neutral,3253.624673079988,264.4215611685452,0.08126984140375204
Aluminium,03_CDA,2029,thousand tonnes,Reference,3253.624673079988,275.35277769428336,0.08462954561800312
Aluminium,03_CDA,2030,thousand tonnes,Carbon Neutral,3289.371496623218,264.62808774887856,0.08044943783958083
Aluminium,03_CDA,2030,thousand tonnes,Reference,3289.371496623218,276.9837967603659,0.08420569006714815
Aluminium,03_CDA,2031,thousand tonnes,Carbon Neutral,3314.584535128625,263.9583220544455,0.07963541712602674
Aluminium,03_CDA,2031,thousand tonnes,Reference,3314.584535128625,277.70842835585825,0.08378378207363524
Aluminium,03_CDA,2032,thousand tonnes,Carbon Neutral,3339.5697970723663,263.25008452795794,0.07882754382278104
Aluminium,03_CDA,2032,thousand tonnes,Reference,3339.5697970723663,278.3992094755854,0.08336379425866292
Aluminium,03_CDA,2033,thousand tonnes,Carbon Neutral,3364.342864852116,262.50483883049594,0.07802559054635316
Aluminium,03_CDA,2033,thousand tonnes,Reference,3364.342864852116,279.0577728142453,0.0829456996579068
Aluminium,03_CDA,2034,thousand tonnes,Carbon Neutral,3388.8801406920784,261.72096905343074,0.07722933777173423
Aluminium,03_CDA,2034,thousand tonnes,Reference,3388.8801406920784,279.6824877222871,0.08252947171662738
Aluminium,03_CDA,2035,thousand tonnes,Carbon Neutral,3413.304766297919,260.9081477277324,0.07643857363803884
Aluminium,03_CDA,2035,thousand tonnes,Reference,3413.304766297919,280.28380857435536,0.08211508428482701
Aluminium,03_CDA,2036,thousand tonnes,Carbon Neutral,3444.712437311181,260.60315298943624,0.07565309375805364
Aluminium,03_CDA,2036,thousand tonnes,Reference,3444.712437311181,281.44165791098203,0.08170251161245416
Aluminium,03_CDA,2037,thousand tonnes,Carbon Neutral,3476.0250299880763,260.2593828487386,0.07487270103162386
Aluminium,03_CDA,2037,thousand tonnes,Reference,3476.0250299880763,282.5720824570086,0.08129172834465404
Aluminium,03_CDA,2038,thousand tonnes,Carbon Neutral,3507.3398421610286,259.88408091251466,0.07409720546281266
Aluminium,03_CDA,2038,thousand tonnes,Reference,3507.3398421610286,283.68314963115245,0.08088270951706882
Aluminium,03_CDA,2039,thousand tonnes,Carbon Neutral,3538.655199909384,259.47693151028375,0.07332642398076204
Aluminium,03_CDA,2039,thousand tonnes,Reference,3538.655199909384,284.7748007848838,0.08047543055118118
Aluminium,03_CDA,2040,thousand tonnes,Carbon Neutral,3569.973883657342,259.03794853663953,0.07256018026419346
Aluminium,03_CDA,2040,thousand tonnes,Reference,3569.973883657342,285.84733494935875,0.08006986724970544
Aluminium,03_CDA,2041,thousand tonnes,Carbon Neutral,3601.31720361751,258.5684694366486,0.07179830456948294
Aluminium,03_CDA,2041,thousand tonnes,Reference,3601.31720361751,286.90252118913867,0.07966599579202469
Aluminium,03_CDA,2042,thousand tonnes,Carbon Neutral,3632.7731682501744,258.07450746041974,0.07104063356224591
Aluminium,03_CDA,2042,thousand tonnes,Reference,3632.7731682501744,287.94737944209675,0.0792637927296723
Aluminium,03_CDA,2043,thousand tonnes,Carbon Neutral,3664.455558805021,257.5636250646412,0.07028701015237108
Aluminium,03_CDA,2043,thousand tonnes,Reference,3664.455558805021,288.99081981462115,0.07886323498185936
Aluminium,03_CDA,2044,thousand tonnes,Carbon Neutral,3696.262913827217,257.02808150999175,0.06953728333243954
Aluminium,03_CDA,2044,thousand tonnes,Reference,3696.262913827217,290.02468152491025,0.07846429983104486
Aluminium,03_CDA,2045,thousand tonnes,Carbon Neutral,3728.326121902241,256.47643064882175,0.06879130801947231
Aluminium,03_CDA,2045,thousand tonnes,Reference,3728.326121902241,291.059104563465,0.07806696491855246
Aluminium,03_CDA,2046,thousand tonnes,Carbon Neutral,3760.642819670046,255.90777602409028,0.06804894489994222
Aluminium,03_CDA,2046,thousand tonnes,Reference,3760.642819670046,292.0936715637101,0.07767120824022794
Aluminium,03_CDA,2047,thousand tonnes,Carbon Neutral,3793.231504256111,255.3226411998757,0.06731006027799691
Aluminium,03_CDA,2047,thousand tonnes,Reference,3793.231504256111,293.129581839434,0.07727700814214332
Aluminium,03_CDA,2048,thousand tonnes,Carbon Neutral,3826.057830843277,254.71798625702573,0.06657452592682975
Aluminium,03_CDA,2048,thousand tonnes,Reference,3826.057830843277,294.16394381472753,0.0768843433163405
Aluminium,03_CDA,2049,thousand tonnes,Carbon Neutral,3859.1149442523774,254.09269108623894,0.06584221894314787
Aluminium,03_CDA,2049,thousand tonnes,Reference,3859.1149442523774,295.19602345501755,0.07649319279662078
Aluminium,03_CDA,2050,thousand tonnes,Carbon Neutral,3892.344474188521,253.44230984068017,0.06511302160467645
Aluminium,03_CDA,2050,thousand tonnes,Reference,3892.344474188521,296.22117763821404,0.07610353595437373
Aluminium,04_CHL,2017,thousand tonnes,Carbon Neutral,0.0,0.0,
Aluminium,04_CHL,2017,thousand tonnes,Reference,0.0,0.0,
Aluminium,04_CHL,2018,thousand tonnes,Carbon Neutral,0.0,0.0,
Aluminium,04_CHL,2018,thousand tonnes,Reference,0.0,0.0,
Aluminium,04_CHL,2019,thousand tonnes,Carbon Neutral,0.0,0.0,
Aluminium,04_CHL,2019,thousand tonnes,Reference,0.0,0.0,
Aluminium,04_CHL,2020,thousand tonnes,Carbon Neutral,0.0,0.0,
Aluminium,04_CHL,2020,thousand tonnes,Reference,0.0,0.0,
Aluminium,04_CHL,2021,thousand tonnes,Carbon Neutral,0.0,0.0,
Aluminium,04_CHL,2021,thousand tonnes,Reference,0.0,0.0,
Aluminium,04_CHL,2022,thousand tonnes,Carbon Neutral,0.0,0.0,
Aluminium,04_CHL,2022,thousand tonnes,Reference,0.0,0.0,
Aluminium,04_CHL,2023,thousand tonnes,Carbon Neutral,0.0,0.0,
Aluminium,04_CHL,2023,thousand tonnes,Reference,0.0,0.0,
Aluminium,04_CHL,2024,thousand tonnes,Carbon Neutral,0.0,0.0,
Aluminium,04_CHL,2024,thousand tonnes,Reference,0.0,0.0,
Aluminium,04_CHL,2025,thousand tonnes,Carbon Neutral,0.0,0.0,
Aluminium,04_CHL,2025,thousand tonnes,Reference,0.0,0.0,
Aluminium,04_CHL,2026,thousand tonnes,Carbon Neutral,0.0,0.0,
Aluminium,04_CHL,2026,thousand tonnes,Reference,0.0,0.0,
Aluminium,04_CHL,2027,thousand tonnes,Carbon Neutral,0.0,0.0,
Aluminium,04_CHL,2027,thousand tonnes,Reference,0.0,0.0,
Aluminium,04_CHL,2028,thousand tonnes,Carbon Neutral,0.0,0.0,
Aluminium,04_CHL,2028,thousand tonnes,Reference,0.0,0.0,
Aluminium,04_CHL,2029,thousand tonnes,Carbon Neutral,0.0,0.0,
Aluminium,04_CHL,2029,thousand tonnes,Reference,0.0,0.0,
Aluminium,04_CHL,2030,thousand tonnes,Carbon Neutral,0.0,0.0,
Aluminium,04_CHL,2030,thousand tonnes,Reference,0.0,0.0,
Aluminium,04_CHL,2031,thousand tonnes,Carbon Neutral,0.0,0.0,
Aluminium,04_CHL,2031,thousand tonnes,Reference,0.0,0.0,
Aluminium,04_CHL,2032,thousand tonnes,Carbon Neutral,0.0,0.0,
Aluminium,04_CHL,2032,thousand tonnes,Reference,0.0,0.0,
Aluminium,04_CHL,2033,thousand tonnes,Carbon Neutral,0.0,0.0,
Aluminium,04_CHL,2033,thousand tonnes,Reference,0.0,0.0,
Aluminium,04_CHL,2034,thousand tonnes,Carbon Neutral,0.0,0.0,
Aluminium,04_CHL,2034,thousand tonnes,Reference,0.0,0.0,
Aluminium,04_CHL,2035,thousand tonnes,Carbon Neutral,0.0,0.0,
Aluminium,04_CHL,2035,thousand tonnes,Reference,0.0,0.0,
Aluminium,04_CHL,2036,thousand tonnes,Carbon Neutral,0.0,0.0,
Aluminium,04_CHL,2036,thousand tonnes,Reference,0.0,0.0,
Aluminium,04_CHL,2037,thousand tonnes,Carbon Neutral,0.0,0.0,
Aluminium,04_CHL,2037,thousand tonnes,Reference,0.0,0.0,
Aluminium,04_CHL,2038,thousand tonnes,Carbon Neutral,0.0,0.0,
Aluminium,04_CHL,2038,thousand tonnes,Reference,0.0,0.0,
Aluminium,04_CHL,2039,thousand tonnes,Carbon Neutral,0.0,0.0,
Aluminium,04_CHL,2039,thousand tonnes,Reference,0.0,0.0,
Aluminium,04_CHL,2040,thousand tonnes,Carbon Neutral,0.0,0.0,
Aluminium,04_CHL,2040,thousand tonnes,Reference,0.0,0.0,
Aluminium,04_CHL,2041,thousand tonnes,Carbon Neutral,0.0,0.0,
Aluminium,04_CHL,2041,thousand tonnes,Reference,0.0,0.0,
Aluminium,04_CHL,2042,thousand tonnes,Carbon Neutral,0.0,0.0,
Aluminium,04_CHL,2042,thousand tonnes,Reference,0.0,0.0,
Aluminium,04_CHL,2043,thousand tonnes,Carbon Neutral,0.0,0.0,
Aluminium,04_CHL,2043,thousand tonnes,Reference,0.0,0.0,
Aluminium,04_CHL,2044,thousand tonnes,Carbon Neutral,0.0,0.0,
Aluminium,04_CHL,2044,thousand tonnes,Reference,0.0,0.0,
Aluminium,04_CHL,2045,thousand tonnes,Carbon Neutral,0.0,0.0,
Aluminium,04_CHL,2045,thousand tonnes,Reference,0.0,0.0,
Aluminium,04_CHL,2046,thousand tonnes,Carbon Neutral,0.0,0.0,
Aluminium,04_CHL,2046,thousand tonnes,Reference,0.0,0.0,
Aluminium,04_CHL,2047,thousand tonnes,Carbon Neutral,0.0,0.0,
Aluminium,04_CHL,2047,thousand tonnes,Reference,0.0,0.0,
Aluminium,04_CHL,2048,thousand tonnes,Carbon Neutral,0.0,0.0,
Aluminium,04_CHL,2048,thousand tonnes,Reference,0.0,0.0,
Aluminium,04_CHL,2049,thousand tonnes,Carbon Neutral,0.0,0.0,
Aluminium,04_CHL,2049,thousand tonnes,Reference,0.0,0.0,
Aluminium,04_CHL,2050,thousand tonnes,Carbon Neutral,0.0,0.0,
Aluminium,04_CHL,2050,thousand tonnes,Reference,0.0,0.0,
Aluminium,05_PRC,2017,thousand tonnes,Carbon Neutral,32300.0,3365.5462885901984,0.10419647952291636
Aluminium,05_PRC,2017,thousand tonnes,Reference,32300.0,3365.5462885901984,0.10419647952291636
Aluminium,05_PRC,2018,thousand tonnes,Carbon Neutral,35800.0,3607.483292702832,0.10076768974030256
Aluminium,05_PRC,2018,thousand tonnes,Reference,35800.0,3607.483292702832,0.10076768974030256
Aluminium,05_PRC,2019,thousand tonnes,Carbon Neutral,36000.0,3627.636830650893,0.10076768974030258
Aluminium,05_PRC,2019,thousand tonnes,Reference,36000.0,3627.636830650893,0.10076768974030258
Aluminium,05_PRC,2020,thousand tonnes,Carbon Neutral,37080.0,3736.4659355704193,0.10076768974030258
Aluminium,05_PRC,2020,thousand tonnes,Reference,37080.0,3736.4659355704193,0.10076768974030258
Aluminium,05_PRC,2021,thousand tonnes,Carbon Neutral,37330.26282548404,3761.684342322323,0.10076768974030248
Aluminium,05_PRC,2021,thousand tonnes,Reference,37330.26282548404,3761.684342322323,0.10076768974030248
Aluminium,05_PRC,2022,thousand tonnes,Carbon Neutral,37647.24776241596,3755.6886754132397,0.09975997977633369
Aluminium,05_PRC,2022,thousand tonnes,Reference,37647.24776241596,3774.658031639672,0.10026385077232638
Aluminium,05_PRC,2023,thousand tonnes,Carbon Neutral,37959.27218485883,3748.9393648144232,0.09876215082727001
Aluminium,05_PRC,2023,thousand tonnes,Reference,37959.27218485883,3786.9129504708826,0.09976252790171787
Aluminium,05_PRC,2024,thousand tonnes,Carbon Neutral,38266.19665201892,3741.4358035988425,0.09777391355671729
Aluminium,05_PRC,2024,thousand tonnes,Reference,38266.19665201892,3798.4444748571514,0.09926370549440913
Aluminium,05_PRC,2025,thousand tonnes,Carbon Neutral,38115.81724449257,3689.420045968412,0.0967949872962911
Aluminium,05_PRC,2025,thousand tonnes,Reference,38115.81724449257,3764.598949952717,0.09876736804053889
Aluminium,05_PRC,2026,thousand tonnes,Carbon Neutral,38409.96672781325,3680.638896661004,0.09582509984305185
Aluminium,05_PRC,2026,thousand tonnes,Reference,38409.96672781325,3774.6818711167143,0.0982735001533706
Aluminium,05_PRC,2027,thousand tonnes,Carbon Neutral,38701.114255770335,3671.342009741969,0.09486398726089836
Aluminium,05_PRC,2027,thousand tonnes,Reference,38701.114255770335,3784.275704444245,0.09778208656821838
Aluminium,05_PRC,2028,thousand tonnes,Carbon Neutral,38806.17363555671,3644.34184973043,0.09391139368585544
